Study	Conditions	Patient	Subtype	GEOStudy	GEOSamples	ArrayExpressExperiment	ArrayExpressSample	ENAExperiment	ENARun	SampleId	Reads	Link	Comments
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265b	?	ERR978239	ERR978239	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978239/ERR978239.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265b	?	ERR978240	ERR978240	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978240/ERR978240.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354a	?	ERR978241	ERR978241	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978241/ERR978241.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354a	?	ERR978242	ERR978242	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978242/ERR978242.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354a	?	ERR978243	ERR978243	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978243/ERR978243.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354a	?	ERR978244	ERR978244	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978244/ERR978244.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354a	?	ERR978245	ERR978245	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978245/ERR978245.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354a	?	ERR978246	ERR978246	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978246/ERR978246.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354a	?	ERR978247	ERR978247	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978247/ERR978247.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354b	?	ERR978248	ERR978248	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978248/ERR978248.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354b	?	ERR978249	ERR978249	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978249/ERR978249.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354b	?	ERR978250	ERR978250	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978250/ERR978250.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354b	?	ERR978251	ERR978251	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978251/ERR978251.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354b	?	ERR978252	ERR978252	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978252/ERR978252.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354b	?	ERR978253	ERR978253	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978253/ERR978253.fastq.gz	
R12.5.4	CSCs	5	NA	NA	NA	E-MTAB-3808	Sample_Sph-354b	?	ERR978254	ERR978254	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978254/ERR978254.fastq.gz	
